User;Gain;HeadSet;Rates Hz;Date;Start;MAC
;24;16;250.0;20241203;03:23:26 064 PM;0c:dc:7e:cb:72:aa
tpsLocalPC;tps;Fp1;Fp2;F3;Fz;F4;C1;Cz;C2;P3;Pz;P4;O1;Oz;O2;T3;T4;Marker;Tps_Marker;Marker_int
1733235806.296;2097836;-34598.6411;-32517.8728;-26198.7895;-33923.1491;-20721.9422;-36562.3534;-31922.4223;-30915.1858;-14265.1498;-17903.2087;-11459.1569;-17561.2271;-16985.3568;-17013.5424;-30174.8514;-42922.4744;N;0.0;0
1733235806.3;2097840;-34593.3884;-32516.7328;-26190.8546;-33898.0705;-20707.3241;-36557.2795;-31913.5487;-30907.0274;-14242.4405;-17890.8035;-11447.2434;-17540.7305;-16916.1335;-16991.1906;-30168.3694;-42919.7475;N;0.0;0
1733235806.304;2097844;-34588.1134;-32514.4753;-26169.017;-33850.0813;-20696.6847;-36547.8918;-31901.2776;-30905.4628;-14217.8088;-17883.4945;-11442.8401;-17530.404;-16886.3833;-16988.039;-30163.4744;-42919.7475;N;0.0;0
1733235806.308;2097848;-34584.8948;-32511.3684;-26161.4174;-33842.6158;-20698.5399;-36546.953;-31899.2436;-30903.0935;-14220.5358;-17888.3225;-11454.463;-17538.9424;-16929.4775;-17001.5842;-30163.1168;-42916.0595;N;0.0;0
1733235806.312;2097852;-34583.4866;-32506.6522;-26170.2463;-33877.6857;-20704.1726;-36546.6624;-31901.5905;-30899.9196;-14243.9604;-17895.4974;-11461.7273;-17553.024;-16986.7426;-17013.0953;-30158.177;-42912.5503;N;0.0;0
1733235806.317;2097856;-34595.8024;-32514.4976;-26191.8604;-33915.773;-20714.9461;-36557.5477;-31916.0521;-30910.5143;-14269.2178;-17910.4507;-11468.4105;-17572.47;-16995.5939;-17022.3266;-30162.4462;-42919.904;N;0.0;0
1733235806.321;2097860;-34602.195;-32516.6881;-26190.3182;-33898.2046;-20710.0511;-36560.6546;-31916.0521;-30911.0507;-14254.4657;-17899.5654;-11458.084;-17554.231;-16932.3385;-17012.2683;-30164.3685;-42922.1392;N;0.0;0
1733235806.325;2097864;-34595.4895;-32513.693;-26164.7031;-33849.4107;-20697.9811;-36549.9705;-31899.4448;-30899.5396;-14217.0712;-17877.8619;-11439.6214;-17531.3205;-16885.5563;-16991.7941;-30161.7309;-42914.5396;N;0.0;0
1733235806.329;2097868;-34589.5886;-32510.9437;-26157.9305;-33843.711;-20701.2892;-36546.6624;-31896.6508;-30898.8243;-14218.6359;-17882.5334;-11442.9072;-17541.8034;-16927.5552;-16995.8621;-30159.7863;-42913.9584;N;0.0;0
1733235806.331;2097872;-34591.9803;-32511.1225;-26179.8576;-33884.5924;-20708.1512;-36554.9996;-31907.3796;-30903.7641;-14250.5318;-17897.1514;-11453.0772;-17559.7519;-16985.6027;-17012.6706;-30165.2625;-42914.2267;N;0.0;0
